Transaction_ID,Customer_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_ID,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,Device_ID,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Fraud_Label
952450,85832,2,22:35,2/22/2025,ATM,71995,Restaurant,Bangkok,Islamabad,531,751144,214.102.90.98,Debit,15,3,23,5,5,No,No,1,No,1,Normal
862985,70574,2,11:43,4/7/2025,POS,33977,Clothing,Kuala Lumpur,Lahore,221,940393,45.60.238.218,Debit,28,7,2,5,2,No,Yes,1,No,0,Normal
275707,92510,9,2:53,1/8/2025,POS,83227,Fuel,Islamabad,Lahore,436,950307,14.146.172.24,Credit,26,6,15,1,7,Yes,Yes,1,No,1,Normal
774990,86133,6,23:49,1/24/2025,Online,10160,Restaurant,Faisalabad,Islamabad,215,672046,246.237.215.186,Debit,24,6,13,5,7,Yes,No,1,Yes,0,Normal
223921,19832,1,10:53,4/29/2025,POS,17632,Electronics,Multan,Faisalabad,431,178920,3.65.33.199,Debit,11,4,10,3,4,Yes,No,0,No,1,Normal
130850,79966,4,1:21,4/12/2025,ATM,12929,Grocery,Islamabad,Islamabad,496,166798,79.216.212.67,Debit,15,7,16,1,6,Yes,No,2,Yes,0,Normal
436209,48635,9,15:08,3/31/2025,POS,97592,ATM,Dubai,Lahore,330,946301,97.135.15.111,Credit,31,4,18,3,5,Yes,Yes,1,No,1,Normal
901516,12189,9,11:27,3/21/2025,Online,87519,ATM,Kuala Lumpur,Lahore,151,835791,119.120.228.20,Debit,36,3,20,1,3,Yes,No,1,Yes,1,Normal
568626,79239,7,7:49,2/8/2025,ATM,82648,Electronics,Dubai,Karachi,491,696580,125.251.6.8,Credit,32,6,12,2,1,No,No,1,Yes,1,Normal
315000,91563,7,16:48,1/12/2025,Online,60148,ATM,Dubai,Islamabad,584,165947,192.131.76.169,Credit,17,6,6,4,8,No,Yes,0,Yes,1,Normal
147885,56604,9,8:59,1/17/2025,ATM,50207,Electronics,Lahore,Karachi,227,693970,7.150.236.105,Credit,36,3,15,2,5,No,Yes,2,Yes,1,Normal
350207,63603,7,12:53,3/26/2025,ATM,97056,ATM,Kuala Lumpur,Lahore,233,329044,233.127.205.101,Debit,29,1,3,5,2,Yes,Yes,0,Yes,1,Normal
229279,41334,2,9:53,4/22/2025,ATM,69592,ATM,Multan,Karachi,489,249709,156.212.122.12,Credit,8,6,1,3,5,No,Yes,2,No,1,Normal
620899,98462,4,7:35,4/20/2025,Online,67738,Electronics,Islamabad,Islamabad,597,343029,119.83.8.139,Credit,23,7,24,3,7,No,No,1,Yes,1,Normal
806879,77872,9,23:35,1/5/2025,Online,76216,Clothing,Dubai,Lahore,34,608665,112.37.18.88,Debit,14,1,11,2,1,No,No,1,Yes,0,Normal
654260,25440,4,13:41,2/18/2025,ATM,84505,Grocery,Lahore,Lahore,531,851300,45.191.146.183,Debit,8,1,13,1,9,Yes,Yes,1,Yes,0,Normal
647022,11600,7,7:33,3/9/2025,POS,13792,Restaurant,Kuala Lumpur,Karachi,536,949712,70.228.152.86,Debit,26,5,7,4,8,No,No,0,Yes,1,Normal
779293,96615,9,13:38,3/31/2025,Online,51370,Clothing,Faisalabad,Lahore,568,301670,85.68.179.29,Debit,22,4,23,1,3,No,Yes,2,Yes,0,Normal
581609,23739,2,16:20,3/5/2025,Online,41288,Restaurant,Dubai,Lahore,177,483634,238.164.5.152,Debit,22,1,24,3,1,No,Yes,2,No,1,Normal
694948,80492,4,12:07,3/14/2025,Online,20167,ATM,Kuala Lumpur,Karachi,524,487919,110.124.245.25,Credit,37,4,20,4,5,No,No,0,Yes,1,Normal
892278,57923,1,21:05,4/16/2025,ATM,74249,ATM,Bangkok,Multan,432,873472,227.19.55.73,Credit,15,7,7,2,4,Yes,No,2,Yes,1,Normal
169180,10049,7,12:58,3/11/2025,ATM,87718,Electronics,Lahore,Lahore,386,616591,117.10.214.186,Credit,16,1,18,2,4,No,No,1,Yes,0,Normal
575966,46517,7,4:09,3/23/2025,ATM,85133,Electronics,Bangkok,Multan,291,628361,225.196.247.80,Credit,11,6,7,5,1,Yes,Yes,0,Yes,0,Normal
587203,72696,1,16:20,4/19/2025,POS,29121,ATM,Karachi,Islamabad,133,857052,34.88.155.240,Credit,23,7,13,5,8,Yes,Yes,0,No,0,Normal
259846,73142,3,15:00,1/13/2025,Online,44113,ATM,Singapore,Multan,223,245266,38.35.47.38,Credit,35,1,3,3,1,No,No,2,No,0,Normal
274655,25297,6,4:12,1/12/2025,Online,25649,ATM,Faisalabad,Multan,414,358790,119.198.219.148,Credit,14,4,2,2,8,No,Yes,2,No,1,Normal
613989,65821,6,3:59,1/24/2025,POS,66638,Fuel,Karachi,Multan,360,806132,119.231.1.206,Debit,5,2,23,3,7,Yes,No,0,Yes,0,Normal
426235,23604,8,10:53,4/6/2025,Online,77904,Fuel,Faisalabad,Multan,513,560419,139.69.114.162,Debit,30,1,10,3,4,No,No,0,Yes,1,Normal
757195,13399,9,9:52,3/12/2025,POS,67666,Grocery,Bangkok,Faisalabad,570,111919,6.28.56.120,Credit,38,2,10,2,1,No,Yes,1,Yes,0,Normal
758559,66118,6,18:50,4/15/2025,POS,71538,Clothing,Karachi,Faisalabad,315,386838,202.79.161.218,Debit,38,6,9,3,1,No,Yes,1,No,1,Normal
402639,23462,3,17:03,1/8/2025,POS,67275,ATM,Islamabad,Karachi,246,734547,136.75.183.254,Debit,29,5,16,3,3,No,Yes,0,Yes,0,Normal
352453,85735,4,1:00,2/27/2025,Online,97777,Electronics,Bangkok,Karachi,7,462127,109.143.98.76,Credit,4,3,22,2,5,No,No,1,Yes,1,Normal
138042,32746,7,18:19,1/21/2025,POS,86786,Grocery,Multan,Multan,424,121269,80.31.142.152,Credit,10,1,23,5,4,No,No,2,Yes,0,Normal
961701,55295,1,4:36,1/2/2025,ATM,45865,Clothing,Kuala Lumpur,Karachi,490,405721,13.136.207.49,Credit,26,5,13,3,7,Yes,Yes,1,No,0,Normal
621936,74468,7,7:34,1/19/2025,ATM,25724,Grocery,Singapore,Lahore,521,636267,91.201.17.189,Debit,9,7,4,4,4,Yes,Yes,1,Yes,1,Normal
315812,13984,4,0:31,3/24/2025,ATM,92441,Electronics,Bangkok,Faisalabad,489,121572,31.244.134.146,Credit,34,5,23,2,5,Yes,Yes,1,No,0,Normal
706557,47865,4,19:46,3/9/2025,POS,77759,ATM,London,Faisalabad,527,256834,120.206.185.201,Credit,21,7,5,1,8,Yes,No,2,Yes,1,Normal
839296,46932,7,16:59,3/9/2025,ATM,22820,Fuel,Singapore,Islamabad,507,482596,238.206.195.41,Debit,10,4,2,1,5,Yes,No,2,No,1,Normal
413186,21103,9,12:53,3/15/2025,POS,12626,ATM,Karachi,Lahore,280,963001,251.217.71.200,Credit,26,5,3,1,1,Yes,Yes,1,Yes,0,Normal
541122,23963,5,17:55,2/10/2025,Online,58270,Electronics,Lahore,Multan,4,218947,60.193.210.123,Credit,31,5,7,1,4,No,Yes,2,No,0,Normal
140346,47693,5,21:19,1/21/2025,ATM,45311,Restaurant,Lahore,Multan,316,440020,186.131.224.43,Debit,29,6,14,3,4,Yes,No,2,No,0,Normal
225903,47340,3,6:22,3/13/2025,Online,84699,Electronics,Multan,Islamabad,434,249010,84.51.75.149,Credit,23,1,18,3,1,No,No,0,No,1,Normal
144714,80923,8,11:21,1/9/2025,Online,50027,Grocery,Multan,Lahore,79,818317,38.194.176.201,Debit,5,4,16,1,7,Yes,Yes,1,No,1,Normal
945149,30756,6,14:20,1/3/2025,Online,82656,Fuel,Karachi,Faisalabad,63,681265,242.224.146.222,Credit,13,1,21,4,6,Yes,No,0,Yes,0,Fraud
420346,21096,3,0:43,2/14/2025,Online,64131,Clothing,Singapore,Faisalabad,87,529348,198.18.85.240,Debit,31,2,16,4,5,No,No,1,Yes,0,Normal
357503,42839,9,9:12,1/12/2025,POS,16800,Fuel,Dubai,Multan,303,945375,142.151.97.14,Debit,27,1,20,1,9,No,Yes,0,Yes,1,Normal
150587,46468,6,19:17,4/22/2025,Online,70919,ATM,Faisalabad,Islamabad,492,583418,182.123.14.134,Credit,14,5,1,2,6,No,No,1,No,1,Normal
595203,63136,9,12:48,4/20/2025,POS,92712,Electronics,Lahore,Faisalabad,138,398018,95.68.240.74,Credit,27,1,12,2,9,No,Yes,0,Yes,1,Normal
194589,39351,6,18:27,3/23/2025,ATM,33186,Grocery,Bangkok,Faisalabad,347,904802,106.106.247.59,Credit,8,6,19,3,4,Yes,No,2,Yes,0,Normal
607695,73134,3,19:45,1/17/2025,ATM,47353,Grocery,Karachi,Lahore,34,887262,224.200.76.108,Credit,7,7,21,3,5,Yes,No,0,Yes,1,Normal
627036,16891,4,20:32,1/13/2025,ATM,93787,Grocery,Islamabad,Faisalabad,434,858988,138.74.159.180,Debit,24,1,15,2,6,Yes,No,0,Yes,0,Normal
696280,99131,6,2:57,1/14/2025,Online,54291,Fuel,Bangkok,Karachi,368,329796,190.44.224.53,Credit,36,3,24,2,2,Yes,Yes,1,Yes,1,Normal
621981,28928,6,17:57,1/13/2025,Online,75022,Grocery,Kuala Lumpur,Faisalabad,224,629045,135.244.80.104,Debit,18,5,11,4,8,Yes,No,2,Yes,1,Normal
809533,36683,9,20:29,2/20/2025,Online,97274,Restaurant,London,Faisalabad,276,521800,239.199.9.37,Credit,25,1,17,4,5,Yes,No,2,No,0,Normal
190919,76349,3,2:22,1/5/2025,POS,93974,Fuel,Lahore,Lahore,231,550072,154.246.233.145,Credit,14,1,7,5,2,Yes,Yes,0,Yes,0,Normal
626386,35213,9,9:02,4/3/2025,POS,38091,ATM,Kuala Lumpur,Faisalabad,64,718860,62.111.41.35,Debit,22,7,10,1,9,Yes,Yes,2,Yes,1,Normal
706641,37382,5,3:12,3/29/2025,POS,33624,Electronics,Bangkok,Islamabad,242,486393,63.101.16.54,Credit,26,3,15,3,5,No,Yes,1,Yes,0,Normal
435405,55932,1,18:07,1/29/2025,POS,16413,Grocery,London,Lahore,79,419069,33.173.56.165,Debit,14,3,16,4,1,Yes,No,1,Yes,1,Normal
382372,19991,8,13:31,2/6/2025,POS,29792,Electronics,Kuala Lumpur,Multan,420,296959,102.25.35.213,Credit,6,1,12,4,9,Yes,No,2,Yes,0,Normal
508127,29181,4,3:07,3/22/2025,Online,71480,Electronics,Multan,Lahore,285,825095,81.69.230.75,Debit,6,6,1,1,6,Yes,Yes,0,Yes,0,Normal
222322,13723,3,17:20,3/27/2025,POS,98281,Clothing,Bangkok,Lahore,141,709810,145.81.186.219,Credit,30,1,6,5,2,No,Yes,0,Yes,1,Normal
756819,96516,5,8:17,3/24/2025,Online,40915,Clothing,Islamabad,Multan,32,297907,197.110.247.47,Credit,25,2,3,2,9,No,Yes,1,Yes,1,Normal
292073,33501,6,17:25,4/8/2025,ATM,62759,Fuel,Faisalabad,Faisalabad,389,757233,171.126.162.244,Credit,14,4,5,1,3,No,Yes,1,Yes,1,Normal
963505,56740,9,1:32,1/23/2025,Online,69430,Grocery,Kuala Lumpur,Islamabad,46,262785,156.160.56.226,Credit,18,1,1,5,6,No,Yes,2,Yes,0,Normal
970983,19446,8,14:43,1/26/2025,Online,63244,Restaurant,Kuala Lumpur,Karachi,556,568180,244.134.33.156,Credit,17,7,23,5,3,Yes,No,0,No,0,Normal
508405,63736,1,6:05,2/12/2025,POS,95262,Clothing,Lahore,Lahore,372,265756,193.109.160.129,Debit,36,7,9,5,3,Yes,Yes,1,No,1,Normal
293990,48766,6,18:15,3/1/2025,ATM,48642,ATM,London,Faisalabad,561,551986,191.195.254.158,Credit,29,6,22,1,1,No,Yes,2,Yes,0,Normal
513565,56845,3,1:44,1/30/2025,ATM,66552,Grocery,Lahore,Lahore,83,726370,231.121.57.175,Credit,38,5,16,1,2,Yes,No,2,Yes,0,Normal
578751,30125,9,1:29,3/29/2025,ATM,13336,Grocery,London,Islamabad,491,637700,38.222.71.162,Debit,7,1,22,3,3,No,No,0,Yes,0,Normal
810819,70563,1,19:29,1/2/2025,ATM,67999,Grocery,Kuala Lumpur,Faisalabad,45,475168,240.63.30.55,Credit,32,3,5,4,7,No,Yes,2,Yes,1,Normal
603311,74137,2,9:25,4/27/2025,Online,32876,Restaurant,Singapore,Faisalabad,596,457565,197.199.30.181,Credit,21,1,10,4,2,No,Yes,1,No,1,Normal
478545,34516,4,22:43,4/27/2025,POS,96893,Electronics,Lahore,Multan,5,118513,130.148.84.163,Credit,26,3,23,5,1,No,Yes,2,No,1,Fraud
896253,57088,3,16:50,2/17/2025,ATM,92750,Electronics,Dubai,Lahore,218,572085,40.218.25.47,Debit,27,2,5,1,8,Yes,Yes,2,No,0,Normal
229720,40378,9,11:55,2/1/2025,POS,98267,Fuel,Bangkok,Karachi,11,151875,234.143.106.193,Credit,13,1,18,2,3,Yes,Yes,0,No,0,Normal
975288,96726,1,20:31,1/8/2025,POS,64395,Clothing,Dubai,Lahore,553,466800,183.179.127.18,Credit,20,1,6,1,3,No,No,1,Yes,0,Normal
198083,77549,7,22:41,4/24/2025,Online,16676,Fuel,Multan,Multan,328,478782,230.96.197.189,Debit,3,5,3,1,7,No,Yes,0,Yes,0,Normal
623581,13494,3,21:39,4/2/2025,Online,63420,Fuel,Faisalabad,Islamabad,193,313463,38.127.144.252,Credit,13,5,18,3,4,Yes,No,2,Yes,1,Normal
700704,81168,1,20:01,1/21/2025,ATM,40545,Fuel,Singapore,Lahore,266,584172,187.230.247.24,Credit,29,6,9,5,3,No,Yes,2,Yes,0,Normal
908650,13939,3,23:24,1/15/2025,ATM,22504,Grocery,Kuala Lumpur,Faisalabad,426,665374,207.11.25.121,Credit,33,2,5,5,2,Yes,No,1,No,1,Normal
828626,38804,6,15:16,4/20/2025,POS,38002,Fuel,Kuala Lumpur,Lahore,45,944271,3.136.74.210,Debit,19,2,16,1,3,No,No,0,Yes,0,Normal
408139,22399,5,2:49,1/19/2025,POS,37163,Electronics,Singapore,Islamabad,214,287195,44.23.166.113,Debit,39,4,22,5,6,No,Yes,1,Yes,1,Normal
984802,12704,1,20:39,1/5/2025,ATM,48565,Restaurant,Kuala Lumpur,Multan,13,224368,87.214.235.101,Debit,30,6,12,3,9,No,No,2,No,0,Normal
450449,73862,4,20:54,3/23/2025,Online,55083,Clothing,Bangkok,Karachi,396,297342,249.25.246.216,Debit,37,5,3,5,1,No,No,1,No,0,Normal
303487,80977,1,7:19,4/5/2025,Online,28653,ATM,Karachi,Faisalabad,318,525166,87.187.201.105,Credit,24,1,16,1,3,No,Yes,0,No,0,Normal
253307,46543,4,17:38,4/10/2025,ATM,67997,ATM,London,Karachi,97,643492,245.8.91.227,Credit,30,1,2,1,9,Yes,No,2,No,1,Normal
866112,92664,2,11:04,3/22/2025,Online,43725,Electronics,Multan,Multan,434,470841,227.108.74.213,Debit,18,5,6,2,2,No,Yes,0,Yes,0,Normal
767788,34443,3,7:19,2/27/2025,ATM,89318,Fuel,Faisalabad,Lahore,136,330528,230.110.12.123,Credit,37,5,16,3,7,No,Yes,0,Yes,0,Normal
284282,45091,7,19:19,1/21/2025,Online,28665,Fuel,Dubai,Karachi,257,831467,255.234.246.249,Credit,38,2,4,1,6,No,No,2,No,0,Normal
787280,78859,7,4:29,3/14/2025,POS,59774,Restaurant,Kuala Lumpur,Lahore,487,255459,105.224.42.52,Debit,30,6,15,1,8,No,No,1,No,0,Normal
607123,86367,1,20:17,4/24/2025,ATM,79019,Fuel,Karachi,Lahore,168,645541,132.51.134.233,Credit,3,4,3,2,2,Yes,No,0,Yes,0,Normal
502183,66447,5,21:36,1/22/2025,Online,10301,ATM,Lahore,Faisalabad,502,919024,98.41.246.107,Debit,5,3,8,2,5,No,Yes,2,No,1,Normal
660484,39740,4,21:18,3/12/2025,ATM,38535,Fuel,Multan,Faisalabad,276,110388,11.90.187.82,Credit,8,3,9,1,5,No,Yes,1,No,1,Normal
339218,69132,2,12:38,3/23/2025,POS,72874,Clothing,Multan,Faisalabad,298,626169,94.32.32.249,Credit,20,6,13,5,8,Yes,Yes,0,No,0,Normal
100891,23782,9,13:05,1/27/2025,ATM,45881,ATM,Dubai,Islamabad,433,311515,35.140.233.140,Debit,32,6,8,5,5,No,No,2,Yes,1,Normal
118665,97681,3,19:28,1/13/2025,Online,78155,Fuel,London,Karachi,491,114105,206.121.92.250,Debit,9,3,10,3,8,Yes,Yes,1,Yes,1,Fraud
488052,31189,1,1:40,2/15/2025,ATM,82524,ATM,Lahore,Karachi,312,465593,235.69.255.112,Debit,11,1,1,1,7,Yes,Yes,2,Yes,1,Normal
326856,27289,3,13:00,2/16/2025,Online,38896,Restaurant,Lahore,Karachi,251,855482,146.101.214.107,Credit,23,4,1,5,4,Yes,Yes,2,No,1,Normal
430702,68109,8,9:42,1/5/2025,ATM,16662,Electronics,Faisalabad,Multan,237,233550,95.7.26.8,Credit,22,1,18,3,1,No,No,1,Yes,1,Normal
719280,48007,6,15:27,3/11/2025,POS,16437,Restaurant,Karachi,Islamabad,288,291409,209.239.249.173,Debit,31,3,9,2,8,Yes,No,0,Yes,0,Normal
174164,28195,9,11:28,4/30/2025,Online,92300,Grocery,Multan,Karachi,189,402005,33.49.231.91,Debit,20,5,24,3,6,Yes,Yes,1,No,1,Normal
203560,12543,5,15:13,2/3/2025,ATM,75398,ATM,Lahore,Lahore,40,680302,12.118.169.64,Debit,18,6,2,4,3,Yes,No,2,No,0,Normal
502836,61213,8,10:56,2/23/2025,ATM,67003,Restaurant,Faisalabad,Multan,41,696381,235.168.116.160,Credit,26,1,2,1,3,No,No,2,Yes,0,Normal
188496,61834,1,17:25,2/16/2025,Online,67246,ATM,Singapore,Faisalabad,583,608699,46.140.4.237,Credit,17,1,2,2,6,Yes,Yes,1,No,0,Normal
898547,84329,6,5:34,2/13/2025,Online,89612,ATM,Islamabad,Karachi,499,307918,239.154.174.158,Credit,29,2,19,1,5,No,Yes,1,No,1,Normal
422536,37399,9,19:42,2/18/2025,ATM,23413,Clothing,Karachi,Islamabad,76,684681,24.217.15.223,Credit,28,4,17,5,9,No,No,2,Yes,0,Normal
121783,86437,5,0:07,3/12/2025,Online,65407,Fuel,Multan,Islamabad,313,177648,10.189.71.254,Debit,3,1,8,1,7,No,Yes,2,No,0,Normal
212116,83200,5,7:42,2/25/2025,POS,51401,ATM,Multan,Karachi,153,276306,163.248.117.179,Credit,13,4,3,5,2,No,No,1,No,0,Normal
833847,66513,4,17:34,1/9/2025,Online,44248,Restaurant,Lahore,Multan,448,143730,116.250.249.185,Debit,19,4,21,2,3,Yes,No,2,Yes,1,Normal
203295,52267,1,5:59,2/14/2025,ATM,91066,Clothing,Bangkok,Multan,361,949288,10.139.100.253,Credit,20,6,6,2,5,Yes,Yes,0,Yes,0,Normal
228482,32014,3,7:28,2/14/2025,POS,89842,Grocery,Multan,Lahore,356,947298,130.167.3.124,Debit,30,5,12,4,1,No,Yes,1,No,0,Normal
943497,55774,8,6:33,1/19/2025,ATM,55398,Grocery,Karachi,Faisalabad,139,986000,110.193.17.105,Debit,13,7,7,3,1,No,No,0,Yes,0,Normal
461454,52877,9,7:00,3/17/2025,Online,20406,ATM,Faisalabad,Islamabad,369,506750,15.146.204.139,Credit,14,4,13,5,5,Yes,No,1,No,0,Normal
553540,38495,5,7:05,1/20/2025,Online,77205,Restaurant,London,Islamabad,389,924773,240.39.11.133,Credit,38,4,5,5,1,Yes,Yes,2,Yes,1,Normal
421180,65685,5,17:18,4/3/2025,POS,30501,Clothing,Lahore,Lahore,375,525278,162.141.207.54,Credit,15,6,5,2,3,Yes,No,2,Yes,0,Normal
524582,90954,6,3:21,1/22/2025,Online,21383,Grocery,Lahore,Lahore,596,675577,41.8.218.17,Credit,17,1,15,1,1,Yes,No,2,No,1,Normal
337756,58176,6,2:51,4/30/2025,Online,49406,Fuel,Karachi,Multan,179,930593,18.7.112.217,Credit,32,6,24,1,9,No,Yes,1,Yes,1,Normal
760578,35661,3,10:19,2/1/2025,POS,85259,Fuel,London,Multan,170,730215,82.129.119.40,Debit,8,1,20,3,5,No,Yes,0,No,1,Normal
400289,95205,7,19:23,1/1/2025,POS,22974,Electronics,Dubai,Lahore,339,767117,124.219.31.192,Debit,32,4,18,3,5,No,No,2,Yes,0,Normal
569168,41980,3,13:22,2/24/2025,Online,93361,ATM,Islamabad,Multan,252,405832,120.211.93.220,Credit,33,6,3,5,4,No,No,1,Yes,1,Normal
141345,39212,4,22:24,1/12/2025,Online,19915,Fuel,Singapore,Lahore,54,485403,212.87.242.214,Debit,25,1,7,1,5,Yes,No,2,No,0,Normal
409159,75627,8,16:40,1/9/2025,Online,60829,ATM,Multan,Karachi,373,340878,156.103.178.152,Credit,32,4,18,3,5,No,Yes,2,Yes,0,Normal
154608,96818,6,12:14,4/10/2025,ATM,35461,Restaurant,Lahore,Karachi,469,114947,224.228.41.134,Credit,20,4,14,1,9,Yes,Yes,1,No,1,Normal
448087,64800,6,3:07,4/19/2025,POS,76939,Electronics,Lahore,Faisalabad,504,454096,187.88.84.248,Debit,27,4,18,1,8,No,No,0,No,1,Normal
508974,50147,4,2:37,2/17/2025,ATM,56500,Restaurant,Karachi,Karachi,358,275894,104.151.85.180,Credit,16,3,16,5,8,No,Yes,1,Yes,1,Normal
355915,78983,8,3:17,3/14/2025,Online,98897,Clothing,Singapore,Multan,163,597476,202.45.8.90,Debit,24,1,3,4,9,No,No,0,No,1,Normal
443564,26429,8,1:23,2/18/2025,ATM,54925,Clothing,Islamabad,Karachi,256,502928,143.114.244.36,Credit,22,2,15,4,7,Yes,No,1,No,0,Normal
541233,56200,4,5:18,1/13/2025,ATM,40984,Grocery,Multan,Faisalabad,485,121252,49.242.227.209,Credit,22,4,1,3,1,No,Yes,0,Yes,1,Normal
970416,55400,7,19:49,1/21/2025,POS,67140,Restaurant,Dubai,Faisalabad,132,266234,181.208.53.255,Credit,25,1,1,4,8,No,No,2,No,1,Normal
374264,20201,3,11:06,4/6/2025,ATM,60999,Fuel,Karachi,Multan,314,140149,222.142.200.169,Debit,16,3,8,3,4,Yes,Yes,1,No,1,Normal
774318,20335,8,1:43,2/21/2025,Online,73809,Clothing,Karachi,,161,290810,147.204.200.178,Credit,23,5,18,2,6,Yes,No,2,No,1,Normal
608960,37741,6,12:54,2/13/2025,Online,64354,Fuel,Multan,Faisalabad,315,244318,73.53.80.250,Credit,30,6,13,4,6,No,Yes,2,Yes,1,Normal
605733,11209,3,9:54,3/22/2025,ATM,71137,Restaurant,Lahore,Lahore,46,163306,83.118.62.91,Credit,21,7,17,4,2,No,Yes,0,Yes,0,Normal
778833,82041,8,20:38,4/17/2025,POS,21105,ATM,London,Faisalabad,328,691002,190.207.218.226,Debit,17,4,1,3,2,Yes,No,2,No,1,Normal
